filename,error_message
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10997556_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10997556_ses-MOBI1A_task-cst_run-002.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10968423_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10935852_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10933360_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10906932_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10979065_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10979065_ses-MOBI1A_task-cst_run-002.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10917604_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10953174_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10979981_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10984338_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10969036_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10969036_ses-MOBI1A_task-cst_run-002.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10966118_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10911406_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10918927_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/sub-M10930807_ses-MOBI1A_task-cst_run-001.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/sub-M10942248/ses-MOBI1/lsl/sub-M10942248_ses-MOBI1_task-cst_run-01_lsl_eeg.pqt,"Non-standardized BIDS name
/data2/Projects/NKI_RS2/MoBI/sub-M10942248/ses-MOBI1/lsl/sub-M10942248_ses-MOBI1_task-cst_run-01_lsl_eeg.pqt

1. Invalid format in 'lsl': should be '<key>-<value>'"
/data2/Projects/NKI_RS2/MoBI/sub-M10995905/ses-MOBI1/lsl/sub-M10995905_ses-MOBI1_task-cst_run-01_lsl_old1_physio.pqt,"Non-standardized BIDS name
/data2/Projects/NKI_RS2/MoBI/sub-M10995905/ses-MOBI1/lsl/sub-M10995905_ses-MOBI1_task-cst_run-01_lsl_old1_physio.pqt

1. Invalid format in 'lsl': should be '<key>-<value>'
2. Invalid format in 'old1': should be '<key>-<value>'"
/data2/Projects/NKI_RS2/MoBI/sub-M10995905/ses-MOBI1/lsl/sub-M10995905_ses-MOBI1_task-cst_run-01_lsl_old1.xdf.gz,"Non-standardized BIDS name
/data2/Projects/NKI_RS2/MoBI/sub-M10995905/ses-MOBI1/lsl/sub-M10995905_ses-MOBI1_task-cst_run-01_lsl_old1.xdf.gz

1. Invalid format in 'lsl': should be '<key>-<value>'"
/data2/Projects/NKI_RS2/MoBI/NWB/anomalies/sub-M10953174_ses-MOBI1A_task-cst_run-002.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
/data2/Projects/NKI_RS2/MoBI/NWB/anomalies/sub-M10984338_ses-MOBI1A_task-cst_run-002.nwb,"Path does not contain valid BIDS elements (e.g., 'sub-*').Should be in the form of'root/sub-<label>/ses-<label>/<datatype>'"
